Blake CK,vs,Montgomery Blair LT,Emory 2025,Finals,https://youtu.be/0gFOSbm_j8w,Somaliland
Blake CK,vs,Nueva AH,Emory 2025,Semis,https://youtu.be/1xXoswOF7uw,Somaliland
Blake OR,vs,Montgomery Blair LT,Emory 2025,Semis,https://youtu.be/T0Mf9JQeIlk,Somaliland
Blake OR,vs,Emerald AG,Emory 2025,Doubles,https://youtu.be/nw_GUV7j8lg,Somaliland
Bellaire CL,vs,Strake SM,Emory 2025,R6,https://youtu.be/jnbedKa_ue4,Somaliland
Jasper ZZ,vs,Bellaire CL,Emory 2025,R4,https://youtu.be/5CERsVPfy9o,Somaliland
Irvine Palatine Independent IB,vs,Harker LL,Emory 2025,R3,https://www.youtube.com/watch?v=SiO5BYsBgUY,Somaliland
Fairmont CH,vs,Emerald AG,Emory 2025,R3,https://youtu.be/qklwtV7DSQo,Somaliland
Bellaire CL,vs,Taipei American HT,Emory 2025,R1,https://youtu.be/KbA_rKNUHVo,Somaliland
,,,,,,
Delbarton AX,vs,Montgomery Blair LT,Ivy Street RR 2025,Finals,https://youtu.be/8nlQyowXmxc,Somaliland
Fairmont SS,vs,Blake CK,Ivy Street RR 2025,R5,https://youtu.be/SQcDvXhn7Yo,Somaliland
East Ridge MV,vs,Nueva AH,Ivy Street RR 2025,R5,https://youtu.be/-jy3NkOhd_o,Somaliland
Delbarton AX,vs,Fairmont TK,Ivy Street RR 2025,R5,https://youtu.be/RnEA7IrjY_4,Somaliland
Nueva CG,vs,Montgomery Blair LT,Ivy Street RR 2025,R4,https://youtu.be/K7t_sj5yBjk,Somaliland
Seven Lakes LL,vs,Montgomery Blair LT,Ivy Street RR 2025,R4,https://youtu.be/PxhoShyyKEA,Somaliland
Fairmont SS,vs,Seven Lakes LL,Ivy Street RR 2025,R4,https://youtu.be/6yPubNIaoK8,Somaliland
Charlotte Latin BW,vs,Blake CK,Ivy Street RR 2025,R4,https://youtu.be/xCdUOTW1Yk8,Somaliland
Nueva AH,vs,Carrollton BZ,Ivy Street RR 2025,R4,https://youtu.be/hMg-VrviF9g,Somaliland
East Ridge MV,vs,Fairmont TK,Ivy Street RR 2025,R4,https://youtu.be/2jOm3SNW2MA,Somaliland
Delbarton AX,vs,Blake OR,Ivy Street RR 2025,R4,https://youtu.be/nEpWhRYTIfg,Somaliland
Seven Lakes LL,vs,Blake CK,Ivy Street RR 2025,R3,https://youtu.be/IvI9zSt1Ndk,Somaliland
Fairmont SS,vs,Nueva CG,Ivy Street RR 2025,R3,https://youtu.be/3R9FkFnLKi8,Somaliland
Charlotte Latin BW,vs,Montgomery Blair LT,Ivy Street RR 2025,R3,https://youtu.be/adW1zr_44pE,Somaliland
East Ridge MV,vs,Carrollton BZ,Ivy Street RR 2025,R3,https://youtu.be/skuuoa0y4Wk,Somaliland
Delbarton AX,vs,Nueva AH,Ivy Street RR 2025,R3,https://youtu.be/gS3rduWTYRo,Somaliland
